parameter_method,model_id,benchmark,intervention,topology,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
lora_grad_diff,qwen3_4b,RWKU,parameter_only,scratchpad,drr_system,1,0.8,,,0.8,0.8,0.8,0.8,0.8,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,scratchpad,irr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,scratchpad,retention_system,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,scratchpad,n_scored_probes,1,15.0,,,15.0,15.0,15.0,15.0,15.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,scratchpad,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,scratchpad,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,scratchpad,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,scratchpad,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,drr_target,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,irr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,retention_target,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,drr_system,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,irr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,retention_system,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,n_scored_probes,1,15.0,,,15.0,15.0,15.0,15.0,15.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_only,sequential,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,irr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,irr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,n_scored_probes,1,15.0,,,15.0,15.0,15.0,15.0,15.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,debate,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,irr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,drr_system,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,irr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,n_scored_probes,1,15.0,,,15.0,15.0,15.0,15.0,15.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,hierarchical,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,irr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,retention_target,1,0.4,,,0.4,0.4,0.4,0.4,0.4,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,irr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,retention_system,1,0.4,,,0.4,0.4,0.4,0.4,0.4,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,n_scored_probes,1,15.0,,,15.0,15.0,15.0,15.0,15.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,independent,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,drr_target,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,irr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,retention_target,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,irr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,retention_system,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,n_scored_probes,1,15.0,,,15.0,15.0,15.0,15.0,15.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,scratchpad,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,irr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,retention_target,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,drr_system,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,irr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,retention_system,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,n_scored_probes,1,15.0,,,15.0,15.0,15.0,15.0,15.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,RWKU,parameter_plus_comm,sequential,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,drr_target,3,0.9333333333333332,0.11547005383792514,0.06666666666666667,1.0,0.9,1.0,0.8,1.0,0.8026666666666666,1.0639999999999998
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,irr_target,3,0.7999999999999999,0.34641016151377546,0.2,1.0,0.7,1.0,0.4,1.0,0.4079999999999999,1.192
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,retention_target,3,0.5333333333333333,0.41633319989322654,0.24037008503093263,0.4,0.30000000000000004,0.7,0.2,1.0,0.062207966672705395,1.0044586999939613
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,drr_system,3,0.9333333333333332,0.11547005383792514,0.06666666666666667,1.0,0.9,1.0,0.8,1.0,0.8026666666666666,1.0639999999999998
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,irr_system,3,0.7999999999999999,0.34641016151377546,0.2,1.0,0.7,1.0,0.4,1.0,0.4079999999999999,1.192
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,retention_system,3,0.46666666666666673,0.3055050463303894,0.1763834207376394,0.4,0.30000000000000004,0.6000000000000001,0.2,0.8,0.12095516202089351,0.81237817131244
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,n_scored_probes,3,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,chain_length,3,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,target_agent_position,3,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,peer_evidence,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,debate,raw_complete,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,drr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,irr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,retention_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,drr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,irr_system,3,0.9333333333333332,0.11547005383792514,0.06666666666666667,1.0,0.9,1.0,0.8,1.0,0.8026666666666666,1.0639999999999998
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,retention_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,n_scored_probes,3,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,chain_length,3,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,target_agent_position,3,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,peer_evidence,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,hierarchical,raw_complete,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,drr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,irr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,retention_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,drr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,irr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,retention_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,n_scored_probes,3,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,chain_length,3,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,target_agent_position,3,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,peer_evidence,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,independent,raw_complete,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,drr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,irr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,retention_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,drr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,irr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,retention_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,n_scored_probes,3,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,chain_length,3,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,target_agent_position,3,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,peer_evidence,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,scratchpad,raw_complete,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,drr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,irr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,retention_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,drr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,irr_system,3,0.8666666666666667,0.23094010767585033,0.13333333333333336,1.0,0.8,1.0,0.6,1.0,0.6053333333333333,1.1280000000000001
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,retention_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,n_scored_probes,3,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,chain_length,3,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,target_agent_position,3,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,peer_evidence,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_only,sequential,raw_complete,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,drr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,irr_target,3,0.7999999999999999,0.34641016151377546,0.2,1.0,0.7,1.0,0.4,1.0,0.4079999999999999,1.192
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,retention_target,3,0.5333333333333333,0.41633319989322654,0.24037008503093263,0.4,0.30000000000000004,0.7,0.2,1.0,0.062207966672705395,1.0044586999939613
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,drr_system,3,0.9333333333333332,0.11547005383792514,0.06666666666666667,1.0,0.9,1.0,0.8,1.0,0.8026666666666666,1.0639999999999998
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,irr_system,3,0.7999999999999999,0.34641016151377546,0.2,1.0,0.7,1.0,0.4,1.0,0.4079999999999999,1.192
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,retention_system,3,0.46666666666666673,0.3055050463303894,0.1763834207376394,0.4,0.30000000000000004,0.6000000000000001,0.2,0.8,0.12095516202089351,0.81237817131244
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,n_scored_probes,3,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,chain_length,3,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,target_agent_position,3,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,peer_evidence,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,debate,raw_complete,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,drr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,irr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,retention_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,drr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,irr_system,3,0.9333333333333332,0.11547005383792514,0.06666666666666667,1.0,0.9,1.0,0.8,1.0,0.8026666666666666,1.0639999999999998
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,retention_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,n_scored_probes,3,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,chain_length,3,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,target_agent_position,3,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,peer_evidence,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,hierarchical,raw_complete,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,drr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,irr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,retention_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,drr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,irr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,retention_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,n_scored_probes,3,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,chain_length,3,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,target_agent_position,3,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,peer_evidence,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,independent,raw_complete,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,drr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,irr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,retention_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,drr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,irr_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,retention_system,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,n_scored_probes,3,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,chain_length,3,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,target_agent_position,3,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,peer_evidence,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,scratchpad,raw_complete,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,sequential,drr_target,3,0.7999999999999999,0.34641016151377546,0.2,1.0,0.7,1.0,0.4,1.0,0.4079999999999999,1.192
lora_grad_diff,qwen3_4b,TOFU,parameter_plus_comm,sequential,irr_target,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
